Year,price,Fuel type,Gear box type,Manufacturer,Color,CarName
2023,11965,Electric,Automatic,MITSUBISHI,Blue,mitsubishi wagon
2022,13886,Electric,Automatic,CHRYSLER,Purple,chrysler truck
2019,14468,Electric,Automatic,NISSAN,Purple,nissan armada
2018,28218,Electric,Automatic,MAZDA,Brown,mazda cx30
2011,22996,Diesel,CVT,SUBARU,Orange,subaru wrx
2006,25103,Diesel,CVT,DODGE,Silver,dodge ram1500
2009,33080,Electric,Automatic,HONDA,Brown,honda fit
2010,20978,Electric,Automatic,BUICK,Red,buick wagon
2018,40030,Diesel,CVT,RENAULT,Navy,renault wagon
2021,49822,Hybrid,Automatic,CHRYSLER,Grey,chrysler suv
2024,80153,Hybrid,Semi-Automatic,LAND-ROVER,Navy,land-rover discovery
2021,69380,Diesel,Manual,CADILLAC,Purple,cadillac convertible
2018,77730,Diesel,Automatic,AUDI,Yellow,audi a4
2005,19568,Petrol,Semi-Automatic,RENAULT,White,renault suv
2014,43777,Petrol,CVT,LEXUS,Blue,lexus ls500
2016,11550,Petrol,Automatic,MINI,Navy,mini clubman
2007,26455,Petrol,CVT,RENAULT,Black,renault truck
2022,93000,Petrol,CVT,JAGUAR,Beige,jaguar epace
2010,38884,Petrol,Semi-Automatic,CHEVROLET,Silver,chevrolet suburban
2017,27015,Petrol,Automatic,HONDA,White,honda passport
2006,33455,Petrol,Manual,CHEVROLET,White,chevrolet malibu
2015,48314,Hybrid,Semi-Automatic,RENAULT,Maroon,renault coupe
2011,22888,Electric,Automatic,MINI,Gold,mini countryman
2024,56364,Diesel,Semi-Automatic,TOYOTA,Gold,toyota camry
2023,11532,Hybrid,Manual,SUZUKI,Silver,suzuki suv
2012,63935,Electric,Automatic,TESLA,Gold,tesla models
2009,11148,Hybrid,CVT,CHRYSLER,Brown,chrysler truck
2022,43324,Electric,Automatic,TESLA,Silver,tesla models
2010,26874,Diesel,Automatic,SEAT,Gold,seat convertible
2011,44749,Hybrid,Manual,LEXUS,Purple,lexus ls500
2011,51833,Electric,Automatic,ACURA,Purple,acura ilx
2013,15286,Hybrid,Manual,RENAULT,Navy,renault convertible
2010,26218,Diesel,Semi-Automatic,INFINITI,Green,infiniti qx60
2013,12204,Electric,Automatic,PEUGEOT,Blue,peugeot suv
2024,50769,Hybrid,Semi-Automatic,INFINITI,Red,infiniti q70
2023,86204,Diesel,Manual,AUDI,Purple,audi s5
2005,18482,Petrol,Manual,INFINITI,Grey,infiniti qx80
2018,11104,Electric,Automatic,CHEVROLET,Gold,chevrolet silverado
2013,15886,Petrol,CVT,PEUGEOT,Beige,peugeot hatchback
2005,5546,Hybrid,Manual,GMC,Navy,gmc suv
2009,36744,Hybrid,Semi-Automatic,CADILLAC,Purple,cadillac sedan
2019,61290,Electric,Automatic,AUDI,Gold,audi rs7
2015,15842,Diesel,Automatic,TOYOTA,Orange,toyota highlander
2010,30168,Petrol,CVT,SUBARU,Red,subaru outback
2007,5726,Petrol,Automatic,CHEVROLET,Green,chevrolet suburban
2009,8159,Electric,Automatic,MAZDA,Gold,mazda cx50
2023,89963,Hybrid,Automatic,PORSCHE,Brown,porsche cayman
2024,21085,Hybrid,Semi-Automatic,ACURA,Navy,acura tlx
2018,93727,Petrol,Automatic,PORSCHE,Beige,porsche panamera
2019,36331,Hybrid,Semi-Automatic,GMC,Green,gmc suv
2014,46455,Diesel,Semi-Automatic,RENAULT,Navy,renault minivan
2017,16352,Electric,Automatic,JEEP,Green,jeep grand-cherokee
2007,36655,Petrol,Semi-Automatic,FORD,Beige,ford f150
2014,15907,Electric,Automatic,SUBARU,Navy,subaru brz
2010,34023,Petrol,Semi-Automatic,CADILLAC,Green,cadillac coupe
2019,52375,Petrol,Manual,MINI,Navy,mini paceman
2016,52665,Electric,Automatic,INFINITI,Red,infiniti q50
2019,47191,Electric,Automatic,MITSUBISHI,Maroon,mitsubishi sedan
2009,25075,Petrol,Semi-Automatic,PORSCHE,Red,porsche panamera
2006,35512,Petrol,Semi-Automatic,TOYOTA,Maroon,toyota avalon
2016,76632,Hybrid,CVT,AUDI,Grey,audi tt
2024,43696,Hybrid,Semi-Automatic,PEUGEOT,Red,peugeot minivan
2009,81748,Electric,Automatic,MERCEDES-BENZ,Purple,mercedes-benz g550
2009,17892,Petrol,Manual,INFINITI,Beige,infiniti qx60
2015,79506,Hybrid,Semi-Automatic,JAGUAR,Orange,jaguar ipace
2012,22711,Electric,Automatic,KIA,Black,kia forte
2020,59914,Hybrid,Manual,INFINITI,Black,infiniti qx60
2024,43291,Diesel,Automatic,JAGUAR,Brown,jaguar xj
2009,68246,Hybrid,Manual,PORSCHE,Grey,porsche 911
2014,68340,Diesel,Automatic,PORSCHE,Red,porsche cayman
2017,16639,Hybrid,CVT,HYUNDAI,Silver,hyundai sonata
2011,39969,Electric,Automatic,MITSUBISHI,Orange,mitsubishi truck
2016,39861,Hybrid,Automatic,JAGUAR,Navy,jaguar xj
2021,49770,Electric,Automatic,GMC,Blue,gmc sedan
2017,34225,Petrol,Semi-Automatic,RENAULT,Purple,renault coupe
2014,9631,Diesel,Automatic,GMC,Green,gmc truck
2016,77611,Electric,Automatic,TESLA,Maroon,tesla modelx
2005,9451,Hybrid,Automatic,SUBARU,Navy,subaru forester
2008,7392,Hybrid,Manual,DODGE,Gold,dodge durango
2024,58544,Hybrid,CVT,MINI,Red,mini cooper
2014,53600,Hybrid,Manual,CADILLAC,Grey,cadillac hatchback
2018,29142,Petrol,Automatic,FORD,Maroon,ford explorer
2011,12558,Diesel,Automatic,RAM,White,ram hatchback
2022,25809,Electric,Automatic,TOYOTA,Black,toyota prius
2023,112124,Diesel,Automatic,LEXUS,Brown,lexus lc500
2022,56438,Hybrid,Semi-Automatic,BMW,Blue,bmw x6
2020,60938,Diesel,CVT,ACURA,Grey,acura nsx
2014,13477,Electric,Automatic,SUZUKI,Yellow,suzuki sedan
2017,54313,Diesel,CVT,AUDI,Black,audi a6
2018,48530,Petrol,CVT,FIAT,Blue,fiat wagon
2007,34899,Hybrid,CVT,MINI,Silver,mini paceman
2022,18971,Diesel,Manual,MAZDA,Purple,mazda cx9
2013,67297,Electric,Automatic,BMW,Blue,bmw x1
2015,17937,Diesel,Semi-Automatic,PEUGEOT,Yellow,peugeot suv
2009,33971,Diesel,Automatic,RENAULT,Yellow,renault sedan
2017,24493,Electric,Automatic,HONDA,Yellow,honda crv
2011,33364,Petrol,CVT,MINI,Beige,mini clubman
2005,26383,Diesel,CVT,CHEVROLET,Yellow,chevrolet malibu
2013,77945,Electric,Automatic,JAGUAR,White,jaguar ipace
2020,54533,Petrol,CVT,MITSUBISHI,Maroon,mitsubishi coupe
2007,25947,Electric,Automatic,SKODA,Silver,skoda minivan
2014,26811,Diesel,Manual,CHEVROLET,Black,chevrolet blazer
2012,24208,Diesel,Manual,CADILLAC,Red,cadillac coupe
2013,13566,Hybrid,Automatic,RAM,Purple,ram crossover
2009,29237,Diesel,Semi-Automatic,PEUGEOT,White,peugeot coupe
2008,9669,Petrol,Automatic,NISSAN,Yellow,nissan maxima
2006,24475,Diesel,Automatic,BMW,Yellow,bmw x4
2020,23328,Diesel,Semi-Automatic,SUZUKI,Navy,suzuki hatchback
2023,15463,Petrol,CVT,SKODA,Maroon,skoda convertible
2016,31098,Electric,Automatic,HONDA,Grey,honda ridgeline
2020,92090,Electric,Automatic,LEXUS,Blue,lexus ls500
2021,28024,Petrol,Manual,RENAULT,Black,renault convertible
2006,8890,Hybrid,Manual,SUZUKI,Yellow,suzuki crossover
2006,54940,Petrol,Semi-Automatic,AUDI,Grey,audi s5
2007,46418,Diesel,CVT,PORSCHE,Navy,porsche taycan
2021,40046,Electric,Automatic,TESLA,Gold,tesla models
2007,30512,Petrol,Manual,JEEP,Maroon,jeep cherokee
2018,40039,Diesel,CVT,LAND-ROVER,Beige,land-rover evoque
2007,7775,Electric,Automatic,RAM,Brown,ram hatchback
2019,24152,Diesel,Automatic,HYUNDAI,Brown,hyundai elantra
2017,11330,Hybrid,Manual,DODGE,Silver,dodge ram2500
2024,47982,Diesel,Automatic,INFINITI,Blue,infiniti q60
2008,10029,Petrol,CVT,KIA,Blue,kia carnival
2022,24979,Electric,Automatic,BUICK,Beige,buick suv
2012,29297,Hybrid,Automatic,CHEVROLET,Maroon,chevrolet cruze
2024,48674,Electric,Automatic,HYUNDAI,Maroon,hyundai venue
2007,46800,Hybrid,CVT,LAND-ROVER,Blue,land-rover velar
2008,29475,Petrol,Manual,SUZUKI,Brown,suzuki suv
2016,9706,Electric,Automatic,MAZDA,Grey,mazda mazda3
2018,35333,Hybrid,Semi-Automatic,RAM,Blue,ram sedan
2022,36363,Electric,Automatic,VOLKSWAGEN,Purple,vw arteon
2006,9512,Electric,Automatic,HYUNDAI,Navy,hyundai elantra
2007,41585,Diesel,Automatic,LAND-ROVER,Grey,land-rover range-rover
2018,18568,Diesel,Manual,PEUGEOT,Brown,peugeot truck
2007,34754,Electric,Automatic,DODGE,Green,dodge durango
2014,11199,Petrol,Automatic,HONDA,Gold,honda passport
2013,60589,Diesel,Manual,VOLVO,Orange,volvo v60
2022,13445,Electric,Automatic,SUZUKI,Black,suzuki truck
2023,57919,Diesel,Automatic,SKODA,Silver,skoda coupe
2016,14557,Hybrid,Manual,FIAT,Blue,fiat minivan
2007,49512,Diesel,CVT,LAND-ROVER,Blue,land-rover range-rover
2021,46894,Petrol,CVT,FORD,Silver,ford ranger
2021,11534,Petrol,CVT,PEUGEOT,Beige,peugeot crossover
2013,37298,Electric,Automatic,AUDI,Purple,audi q5
2023,58949,Petrol,Manual,AUDI,Blue,audi tt
2022,47175,Electric,Automatic,MAZDA,Silver,mazda cx30
2014,14115,Hybrid,Manual,RENAULT,Orange,renault convertible
2010,42789,Petrol,Semi-Automatic,VOLVO,Orange,volvo xc90
2017,25520,Hybrid,Semi-Automatic,FORD,Gold,ford expedition
2011,15089,Petrol,Manual,CADILLAC,Blue,cadillac sedan
2006,47608,Petrol,Automatic,BMW,Gold,bmw x4
2022,56721,Electric,Automatic,RAM,Yellow,ram sedan
2005,19437,Electric,Automatic,HONDA,Brown,honda ridgeline
2014,22642,Hybrid,CVT,RENAULT,Silver,renault coupe
2024,57648,Hybrid,Semi-Automatic,CHRYSLER,Orange,chrysler convertible
2021,10691,Petrol,Manual,RENAULT,Brown,renault sedan
2008,30617,Petrol,Automatic,SUZUKI,Gold,suzuki convertible
2022,34944,Electric,Automatic,RAM,Blue,ram wagon
2017,25804,Diesel,Automatic,CHEVROLET,Purple,chevrolet equinox
2017,11145,Hybrid,Semi-Automatic,PEUGEOT,Brown,peugeot wagon
2014,37918,Petrol,Manual,HONDA,Red,honda odyssey
2016,12980,Hybrid,CVT,RAM,Orange,ram truck
2017,17227,Diesel,Manual,FORD,Gold,ford escape
2006,17195,Electric,Automatic,GMC,Navy,gmc sedan
2021,21042,Diesel,Semi-Automatic,MAZDA,Gold,mazda cx30
2012,9451,Hybrid,Automatic,MINI,Silver,mini clubman
2024,57634,Diesel,Manual,BUICK,Orange,buick wagon
2014,21195,Diesel,Manual,SEAT,Beige,seat minivan
2010,30030,Hybrid,Automatic,FIAT,Purple,fiat suv
2007,21652,Diesel,CVT,VOLVO,Gold,volvo c40
2023,18691,Electric,Automatic,SUBARU,Blue,subaru impreza
2008,27068,Hybrid,Semi-Automatic,MAZDA,Yellow,mazda miata
2017,15171,Electric,Automatic,HONDA,Maroon,honda odyssey
2016,26926,Diesel,Manual,FORD,Silver,ford edge
2006,11339,Petrol,Manual,CHRYSLER,Red,chrysler coupe
2021,36658,Petrol,Automatic,GMC,Black,gmc truck
2012,9996,Petrol,Semi-Automatic,RENAULT,Silver,renault coupe
2023,51800,Electric,Automatic,TESLA,Silver,tesla roadster
2013,20982,Petrol,Manual,BUICK,Beige,buick hatchback
2012,21652,Hybrid,Manual,JEEP,Maroon,jeep wrangler
2018,32245,Petrol,Manual,SKODA,Silver,skoda crossover
2007,25358,Diesel,CVT,NISSAN,Green,nissan leaf
2024,34682,Hybrid,CVT,CADILLAC,Brown,cadillac coupe
2014,7352,Diesel,CVT,HONDA,Grey,honda pilot
2014,88866,Electric,Automatic,LAND-ROVER,Grey,land-rover velar
2011,41522,Petrol,Manual,MINI,Beige,mini paceman
2008,33470,Diesel,CVT,NISSAN,Silver,nissan frontier
2010,23150,Electric,Automatic,INFINITI,White,infiniti q70
2022,43166,Petrol,Manual,LEXUS,Maroon,lexus gx460
2017,87399,Petrol,Automatic,PORSCHE,Orange,porsche cayenne
2021,34755,Electric,Automatic,TOYOTA,Silver,toyota prius
2018,15857,Electric,Automatic,SKODA,Orange,skoda crossover
2012,33820,Electric,Automatic,BMW,Beige,bmw z4
2021,26596,Hybrid,CVT,NISSAN,Black,nissan murano
2014,18057,Diesel,CVT,SUZUKI,Silver,suzuki minivan
2022,76093,Electric,Automatic,CADILLAC,Maroon,cadillac minivan
2021,36776,Petrol,CVT,KIA,Red,kia rio
2019,22040,Hybrid,Semi-Automatic,ACURA,Maroon,acura rlx
2007,45242,Petrol,CVT,VOLVO,Silver,volvo xc90
2017,82668,Petrol,Semi-Automatic,BMW,Maroon,bmw x7
2014,41060,Hybrid,Semi-Automatic,CHRYSLER,Blue,chrysler minivan
2013,23669,Electric,Automatic,CADILLAC,Yellow,cadillac sedan
2017,60535,Diesel,Manual,ACURA,Brown,acura ilx
2020,9144,Diesel,Automatic,SUZUKI,Gold,suzuki coupe
2009,36610,Petrol,CVT,LEXUS,Beige,lexus rx350
2009,36848,Electric,Automatic,HYUNDAI,Navy,hyundai venue
2012,15603,Electric,Automatic,PEUGEOT,Beige,peugeot minivan
2019,14977,Petrol,Automatic,TOYOTA,Navy,toyota tundra
2013,19073,Hybrid,Semi-Automatic,CHRYSLER,Brown,chrysler truck
2008,27034,Hybrid,Manual,PEUGEOT,Beige,peugeot truck
2021,18503,Diesel,CVT,RAM,Green,ram hatchback
2007,38205,Electric,Automatic,SUBARU,Gold,subaru impreza
2019,76041,Electric,Automatic,TESLA,Navy,tesla modelx
2018,90600,Diesel,Semi-Automatic,LEXUS,Gold,lexus rx350
2021,28720,Electric,Automatic,KIA,Blue,kia k5
2016,41178,Hybrid,Manual,HYUNDAI,Maroon,hyundai palisade
2007,6535,Diesel,Manual,SUBARU,Gold,subaru impreza
2009,29486,Petrol,Manual,CHRYSLER,White,chrysler convertible
2012,31805,Petrol,CVT,AUDI,Red,audi tt
2021,13338,Electric,Automatic,FIAT,Brown,fiat coupe
2012,57118,Diesel,Automatic,CADILLAC,Blue,cadillac minivan
2024,64454,Diesel,CVT,VOLVO,Navy,volvo s90
2008,8472,Diesel,Manual,GMC,Blue,gmc sedan
2011,42737,Diesel,CVT,FORD,Brown,ford maverick
2014,62289,Diesel,CVT,AUDI,Green,audi q5
2008,33012,Diesel,CVT,FORD,Maroon,ford f150
2021,10407,Diesel,Manual,TOYOTA,Blue,toyota yaris
2013,42858,Diesel,Semi-Automatic,FORD,Blue,ford ranger
2016,37227,Hybrid,CVT,MAZDA,Red,mazda cx50
2021,40660,Diesel,Manual,GMC,Maroon,gmc suv
2015,25307,Diesel,Automatic,CHRYSLER,Brown,chrysler truck
2012,38144,Petrol,Automatic,NISSAN,Beige,nissan murano
2021,25728,Hybrid,CVT,MITSUBISHI,Yellow,mitsubishi crossover
2009,21759,Electric,Automatic,CHRYSLER,Maroon,chrysler crossover
2013,15091,Electric,Automatic,JEEP,Navy,jeep gladiator
2016,39069,Diesel,Manual,MERCEDES-BENZ,Beige,mercedes-benz amg
2013,39251,Hybrid,CVT,NISSAN,Purple,nissan rogue
2020,107175,Petrol,Automatic,LEXUS,Maroon,lexus ls500
2021,60816,Electric,Automatic,LAND-ROVER,Brown,land-rover evoque
2009,12431,Petrol,Manual,MAZDA,Green,mazda miata
2016,21472,Hybrid,Automatic,SKODA,Red,skoda minivan
2006,58230,Hybrid,Automatic,LAND-ROVER,Orange,land-rover range-rover
2012,25149,Hybrid,CVT,RAM,Silver,ram hatchback
2012,10788,Petrol,Semi-Automatic,MAZDA,Navy,mazda cx30
2014,31037,Hybrid,Semi-Automatic,FIAT,Black,fiat hatchback
2005,24051,Diesel,CVT,MAZDA,Navy,mazda miata
2017,31682,Diesel,Manual,TOYOTA,Orange,toyota rav4
2012,36733,Electric,Automatic,SUBARU,Blue,subaru legacy
2023,50790,Diesel,CVT,FORD,Silver,ford escape
2008,32459,Petrol,Manual,BUICK,Maroon,buick minivan
2005,35017,Petrol,Automatic,VOLKSWAGEN,Maroon,vw touareg
2019,48764,Hybrid,Automatic,MERCEDES-BENZ,Beige,mercedes-benz e450
2007,21499,Diesel,Automatic,ACURA,Brown,acura ilx
2007,19647,Diesel,Semi-Automatic,VOLVO,White,volvo s60
2009,9470,Diesel,Manual,SEAT,White,seat crossover
2013,52642,Diesel,Automatic,INFINITI,Black,infiniti q60
2010,19164,Diesel,CVT,LEXUS,Maroon,lexus rc300
2020,35596,Diesel,Manual,FIAT,Brown,fiat sedan
2022,111367,Diesel,CVT,JAGUAR,Green,jaguar xe
2018,42020,Electric,Automatic,HONDA,Purple,honda crv
2006,18907,Petrol,Manual,VOLKSWAGEN,Black,vw id4
2014,20533,Petrol,Automatic,PEUGEOT,Brown,peugeot sedan
2017,29596,Petrol,CVT,INFINITI,Navy,infiniti qx50
2009,36209,Hybrid,Automatic,VOLKSWAGEN,Beige,vw passat
2007,19742,Hybrid,Semi-Automatic,CHEVROLET,Purple,chevrolet corvette
2018,40497,Diesel,CVT,SEAT,Blue,seat convertible
2019,46537,Electric,Automatic,CADILLAC,Silver,cadillac truck
2018,45927,Diesel,Automatic,SUBARU,Green,subaru crosstrek
2006,25898,Diesel,CVT,PORSCHE,Brown,porsche cayenne
2015,10659,Petrol,Manual,CHEVROLET,Orange,chevrolet corvette
2011,8890,Electric,Automatic,MINI,Black,mini countryman
2011,27886,Electric,Automatic,TESLA,Yellow,tesla modelx
2015,49750,Diesel,Semi-Automatic,CADILLAC,Brown,cadillac convertible
2007,47876,Hybrid,Semi-Automatic,CADILLAC,Purple,cadillac sedan
2014,22992,Electric,Automatic,TESLA,Orange,tesla modelx
2022,9374,Electric,Automatic,SKODA,Black,skoda suv
2024,58758,Hybrid,Manual,LAND-ROVER,Black,land-rover sport
2007,31481,Hybrid,Semi-Automatic,TOYOTA,Navy,toyota camry
2023,34549,Diesel,Semi-Automatic,SUBARU,Beige,subaru forester
2005,28015,Diesel,Semi-Automatic,RAM,Beige,ram truck
2019,30061,Petrol,Semi-Automatic,SKODA,Gold,skoda suv
2009,74867,Electric,Automatic,TESLA,Orange,tesla modelx
2020,74452,Electric,Automatic,TESLA,Blue,tesla cybertruck
2014,94525,Diesel,Manual,PORSCHE,Green,porsche 911
2013,25443,Petrol,Automatic,MINI,Black,mini cooper
2008,7778,Electric,Automatic,TOYOTA,Navy,toyota venza
2006,7923,Electric,Automatic,SUZUKI,Purple,suzuki convertible
2010,39174,Hybrid,Automatic,ACURA,Grey,acura nsx
2005,32120,Petrol,Automatic,VOLVO,Red,volvo v90
2018,96501,Diesel,Manual,LEXUS,Orange,lexus lx570
2015,32466,Electric,Automatic,AUDI,Purple,audi r8
2020,18832,Hybrid,CVT,NISSAN,Red,nissan pathfinder
2013,22093,Electric,Automatic,MITSUBISHI,White,mitsubishi minivan
2005,35497,Hybrid,Semi-Automatic,SUZUKI,Blue,suzuki hatchback
2017,36315,Hybrid,Manual,PEUGEOT,Navy,peugeot suv
2013,29510,Petrol,Semi-Automatic,FORD,Purple,ford escape
2006,34801,Electric,Automatic,SEAT,Navy,seat truck
2022,46887,Electric,Automatic,KIA,Beige,kia rio
2016,24607,Diesel,CVT,PORSCHE,Black,porsche cayenne
2014,44206,Petrol,Semi-Automatic,VOLVO,Brown,volvo v60
2007,33410,Hybrid,CVT,INFINITI,Purple,infiniti q60
2024,38891,Hybrid,Manual,INFINITI,Gold,infiniti q50
2013,31256,Diesel,Manual,MITSUBISHI,Red,mitsubishi minivan
2007,32245,Diesel,Semi-Automatic,MAZDA,Orange,mazda miata
2018,31741,Hybrid,Automatic,BUICK,White,buick sedan
2020,20154,Petrol,CVT,SKODA,Green,skoda wagon
2014,32520,Electric,Automatic,FIAT,Gold,fiat crossover
2022,27686,Electric,Automatic,HYUNDAI,Beige,hyundai santafe
2012,14757,Hybrid,Automatic,TOYOTA,Silver,toyota corolla
2018,35384,Petrol,Semi-Automatic,CHRYSLER,Gold,chrysler truck
2011,22801,Diesel,CVT,TOYOTA,Yellow,toyota venza
2015,58093,Hybrid,Semi-Automatic,JAGUAR,Maroon,jaguar epace
2020,9852,Petrol,Automatic,JEEP,Purple,jeep cherokee
2021,17416,Diesel,Automatic,SEAT,Maroon,seat wagon
2015,7424,Petrol,Semi-Automatic,TOYOTA,White,toyota tacoma
2005,32233,Diesel,Semi-Automatic,MAZDA,Maroon,mazda cx50
2014,12471,Electric,Automatic,SKODA,Beige,skoda minivan
2017,7977,Electric,Automatic,VOLKSWAGEN,Maroon,vw taos
2011,30139,Hybrid,Automatic,VOLKSWAGEN,Orange,vw polo
2017,73756,Hybrid,Semi-Automatic,AUDI,Gold,audi a4
2010,31944,Hybrid,CVT,CHRYSLER,Black,chrysler suv
2007,5637,Petrol,Manual,RENAULT,Purple,renault truck
2013,92173,Electric,Automatic,MERCEDES-BENZ,Blue,mercedes-benz c180
2006,30786,Petrol,Semi-Automatic,MAZDA,White,mazda cx30
2011,39954,Diesel,Automatic,JEEP,Brown,jeep wagoneer
2023,100570,Electric,Automatic,PORSCHE,Green,porsche 911
2006,17738,Diesel,Manual,HONDA,Black,honda clarity
2005,16705,Petrol,Automatic,MINI,Silver,mini clubman
2023,28736,Petrol,Automatic,RENAULT,Silver,renault minivan
2006,25500,Electric,Automatic,DODGE,Red,dodge journey
2007,24405,Diesel,Manual,BMW,Navy,bmw x2
2006,34946,Electric,Automatic,TOYOTA,Black,toyota prius
2005,68417,Petrol,Automatic,JAGUAR,Gold,jaguar xf
2009,63138,Electric,Automatic,TESLA,Orange,tesla models
2011,43451,Diesel,Semi-Automatic,SUZUKI,Beige,suzuki suv
2018,16187,Petrol,Manual,CHRYSLER,Maroon,chrysler coupe
2012,38720,Electric,Automatic,MINI,Blue,mini countryman
2021,40679,Electric,Automatic,TESLA,Maroon,tesla cybertruck
2016,42698,Electric,Automatic,CHEVROLET,Orange,chevrolet colorado
2014,28644,Petrol,Manual,JEEP,Grey,jeep gladiator
2012,26926,Hybrid,CVT,DODGE,Silver,dodge journey
2007,34672,Electric,Automatic,RENAULT,Navy,renault minivan
2016,39354,Petrol,CVT,GMC,Silver,gmc wagon
2009,39236,Petrol,CVT,DODGE,Blue,dodge ram2500
2006,30638,Petrol,Semi-Automatic,INFINITI,Red,infiniti qx50
2012,22893,Petrol,Manual,AUDI,Black,audi q5
2007,30207,Diesel,CVT,RAM,Silver,ram suv
2022,45687,Electric,Automatic,KIA,Orange,kia optima
2017,28997,Hybrid,Automatic,BMW,Maroon,bmw x2
2012,25061,Electric,Automatic,RENAULT,Green,renault suv
2005,11445,Petrol,Manual,VOLKSWAGEN,Maroon,vw gti
2007,38668,Electric,Automatic,ACURA,Purple,acura nsx
2012,31328,Diesel,Manual,FORD,Purple,ford fiesta
2020,46873,Diesel,Automatic,SUBARU,Purple,subaru outback
2020,84334,Hybrid,CVT,PORSCHE,Purple,porsche taycan
2013,12306,Hybrid,Semi-Automatic,RAM,Red,ram suv
2024,116120,Diesel,Automatic,LEXUS,Navy,lexus nx300
2012,37812,Electric,Automatic,KIA,Grey,kia niro
2020,20053,Electric,Automatic,TOYOTA,Black,toyota corolla
2010,76585,Petrol,Automatic,LEXUS,Navy,lexus lx570
2005,38963,Hybrid,Automatic,CADILLAC,Red,cadillac wagon
2005,12847,Petrol,Automatic,BUICK,White,buick wagon
2009,27226,Hybrid,CVT,MITSUBISHI,Grey,mitsubishi convertible
2021,53222,Petrol,Semi-Automatic,INFINITI,Green,infiniti q50
2007,16596,Petrol,Manual,SUBARU,White,subaru outback
2015,27899,Hybrid,CVT,GMC,Beige,gmc hatchback
2022,55702,Petrol,Manual,MINI,Gold,mini countryman
2006,32353,Hybrid,Automatic,RAM,Navy,ram minivan
2020,34679,Petrol,Manual,VOLKSWAGEN,Maroon,vw golf
2010,12773,Electric,Automatic,VOLKSWAGEN,Blue,vw atlas
2022,79761,Electric,Automatic,PORSCHE,Brown,porsche taycan
2021,35064,Electric,Automatic,SUBARU,Orange,subaru forester
2008,24900,Hybrid,Manual,SUZUKI,Orange,suzuki wagon
2021,36044,Electric,Automatic,PORSCHE,Red,porsche macan
2017,45330,Hybrid,Semi-Automatic,RAM,Black,ram hatchback
2024,50210,Electric,Automatic,KIA,Silver,kia sorento
2024,9433,Electric,Automatic,HONDA,Green,honda pilot
2024,37170,Petrol,Semi-Automatic,RAM,Maroon,ram suv
2016,8463,Electric,Automatic,NISSAN,Beige,nissan kicks
2023,44728,Hybrid,CVT,VOLKSWAGEN,Brown,vw touareg
2021,20388,Petrol,Semi-Automatic,HONDA,Beige,honda civic
2020,36584,Electric,Automatic,NISSAN,Grey,nissan pathfinder
2014,15296,Electric,Automatic,KIA,Navy,kia niro
2018,7700,Petrol,Semi-Automatic,CHEVROLET,Yellow,chevrolet impala
2007,6723,Diesel,CVT,SUBARU,Beige,subaru wrx
2020,10273,Petrol,Manual,SUBARU,Beige,subaru forester
2024,53213,Diesel,Automatic,FORD,Orange,ford f150
2022,37589,Electric,Automatic,MINI,Blue,mini countryman
2014,43452,Petrol,Semi-Automatic,SUZUKI,Maroon,suzuki wagon
2021,29192,Hybrid,CVT,SUZUKI,Grey,suzuki suv
2023,68979,Diesel,Semi-Automatic,VOLVO,Black,volvo s60
2009,75729,Diesel,Semi-Automatic,LEXUS,Grey,lexus rx350
2023,59860,Petrol,Semi-Automatic,LEXUS,Black,lexus ls500
2009,36605,Petrol,CVT,HYUNDAI,Blue,hyundai sonata
2019,13328,Diesel,Semi-Automatic,MITSUBISHI,Red,mitsubishi crossover
2006,49220,Electric,Automatic,AUDI,Green,audi q7
2011,22701,Hybrid,Semi-Automatic,VOLKSWAGEN,Maroon,vw tiguan
2015,35555,Electric,Automatic,CADILLAC,Gold,cadillac hatchback
2006,39497,Hybrid,Automatic,AUDI,Green,audi tt
2021,13890,Electric,Automatic,CHEVROLET,Black,chevrolet silverado
2020,63872,Hybrid,Semi-Automatic,CADILLAC,Blue,cadillac wagon
2022,23805,Diesel,Manual,RAM,Black,ram wagon
2013,41476,Hybrid,Semi-Automatic,MINI,Gold,mini paceman
2010,35183,Electric,Automatic,MINI,Navy,mini countryman
2018,13240,Electric,Automatic,KIA,Gold,kia soul
2021,11790,Hybrid,CVT,CHEVROLET,Silver,chevrolet suburban
2018,36953,Petrol,Automatic,KIA,Red,kia soul
2016,32340,Diesel,Manual,RENAULT,Green,renault convertible
2013,42285,Hybrid,Manual,DODGE,Purple,dodge durango
2024,33299,Electric,Automatic,RENAULT,Purple,renault convertible
2024,42749,Petrol,CVT,PEUGEOT,Black,peugeot wagon
2024,54093,Diesel,Semi-Automatic,VOLVO,Purple,volvo xc60
2018,51851,Diesel,Automatic,PEUGEOT,Navy,peugeot coupe
2009,19056,Electric,Automatic,MAZDA,Yellow,mazda cx50
2013,37733,Petrol,Semi-Automatic,KIA,Maroon,kia carnival
2016,32949,Hybrid,Semi-Automatic,MAZDA,White,mazda miata
2019,85853,Petrol,CVT,LEXUS,Grey,lexus ls500
2016,46011,Hybrid,Manual,RAM,Purple,ram convertible
2006,71442,Petrol,Automatic,BMW,Silver,bmw x7
2007,29082,Petrol,Automatic,HYUNDAI,Black,hyundai veloster
2019,25610,Hybrid,Automatic,PEUGEOT,Orange,peugeot minivan
